Latitude (decimal degrees):	40.330
Longitude (decimal degrees):	-3.761
Elevation (m):	665
Radiation database:	PVGIS-SARAH2


Slope: 27 deg. 
Azimuth: -15 deg. 
Nominal power of the PV system (c-Si) (kWp):	4.3
System losses (%):	18.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,2.35,1.38,0.0
20200101:0110,0.0,0.0,0.0,1.71,1.45,0.0
20200101:0210,0.0,0.0,0.0,0.87,1.59,0.0
20200101:0310,0.0,0.0,0.0,0.29,1.59,0.0
20200101:0410,0.0,0.0,0.0,-0.05,1.59,0.0
20200101:0510,0.0,0.0,0.0,-0.36,1.59,0.0
20200101:0610,0.0,0.0,0.0,-0.62,1.59,0.0
20200101:0710,0.0,0.0,0.0,-1.67,1.24,0.0
20200101:0810,319.88,106.05,4.35,-1.51,1.17,0.0
20200101:0910,1670.26,491.07,13.01,0.7,0.69,0.0
20200101:1010,2308.83,709.32,19.98,4.07,0.62,0.0
20200101:1110,2529.97,800.45,24.7,6.55,0.62,0.0
20200101:1210,2583.6,831.24,26.63,8.63,0.62,0.0
20200101:1310,2377.72,760.53,25.52,10.19,0.62,0.0
20200101:1410,2004.24,630.26,21.52,11.09,0.69,0.0
20200101:1510,1419.6,444.81,15.11,11.32,0.69,0.0
20200101:1610,310.0,113.66,6.86,10.66,0.9,0.0
20200101:1710,0.0,0.0,0.0,8.82,1.17,0.0
20200101:1810,0.0,0.0,0.0,8.45,0.62,0.0
20200101:1910,0.0,0.0,0.0,7.07,0.41,0.0
20200101:2010,0.0,0.0,0.0,6.2,0.69,0.0
20200101:2110,0.0,0.0,0.0,3.55,1.38,0.0
20200101:2210,0.0,0.0,0.0,1.63,1.59,0.0
20200101:2310,0.0,0.0,0.0,0.82,1.52,0.0
20200102:0010,0.0,0.0,0.0,0.36,1.52,0.0
20200102:0110,0.0,0.0,0.0,-0.15,1.52,0.0
20200102:0210,0.0,0.0,0.0,-0.47,1.52,0.0
20200102:0310,0.0,0.0,0.0,-0.71,1.52,0.0
20200102:0410,0.0,0.0,0.0,-0.86,1.52,0.0
20200102:0510,0.0,0.0,0.0,-0.86,1.52,0.0
20200102:0610,0.0,0.0,0.0,-0.84,1.52,0.0
20200102:0710,0.0,0.0,0.0,-1.36,1.38,0.0
20200102:0810,522.53,163.1,4.34,-1.47,1.38,0.0
20200102:0910,1708.9,501.14,13.02,0.3,0.83,0.0
20200102:1010,2322.89,709.35,20.01,3.15,0.69,0.0
20200102:1110,2560.22,802.7,24.76,5.25,0.76,0.0
20200102:1210,2598.3,825.71,26.71,7.01,0.76,0.0
20200102:1310,2399.7,756.52,25.63,8.25,0.83,0.0
20200102:1410,2003.01,620.8,21.64,9.11,0.9,0.0
20200102:1510,1391.83,430.35,15.24,9.36,0.9,0.0
20200102:1610,544.17,190.44,6.99,8.89,0.83,0.0
20200102:1710,0.0,0.0,0.0,7.55,0.76,0.0
20200102:1810,0.0,0.0,0.0,6.93,0.48,0.0
20200102:1910,0.0,0.0,0.0,6.56,0.76,0.0
20200102:2010,0.0,0.0,0.0,4.57,1.17,0.0
20200102:2110,0.0,0.0,0.0,2.56,1.45,0.0
20200102:2210,0.0,0.0,0.0,1.75,1.38,0.0
20200102:2310,0.0,0.0,0.0,1.42,1.31,0.0
20200103:0010,0.0,0.0,0.0,0.98,1.31,0.0
20200103:0110,0.0,0.0,0.0,0.55,1.31,0.0
20200103:0210,0.0,0.0,0.0,0.52,1.24,0.0
20200103:0310,0.0,0.0,0.0,1.1,1.1,0.0
20200103:0410,0.0,0.0,0.0,1.73,0.83,0.0
20200103:0510,0.0,0.0,0.0,1.48,0.55,0.0
20200103:0610,0.0,0.0,0.0,1.16,0.48,0.0
20200103:0710,0.0,0.0,0.0,0.05,1.03,0.0
20200103:0810,56.66,28.05,4.34,-0.52,1.1,0.0
20200103:0910,348.68,112.95,13.04,0.96,0.62,0.0
20200103:1010,425.15,135.92,20.05,3.61,0.55,0.0
20200103:1110,879.26,265.53,24.82,5.62,0.55,0.0
